identifier	time_total_s	time_perevent_s
Reader:RootParticleReader	0.001533	0.0001533
Algorithm:ParticleSelector	1.399e-05	1.399e-06
Algorithm:FatrasSimulation	0.02011	0.002011
Algorithm:DigitizationAlgorithm	0.0002979	2.979e-05
Algorithm:TruthSeedSelector	1.79e-05	1.79e-06
Algorithm:SpacePointMaker	4.25e-05	4.25e-06
Algorithm:SeedingAlgorithm	0.004838	0.0004838
Algorithm:TrackParamsEstimationAlgorithm	5.342e-05	5.343e-06
Algorithm:TrackFindingAlgorithm	0.05155	0.005155
Writer:TrackFinderPerformanceWriter	0.0003957	3.957e-05
Writer:SeedingPerformanceWriter	3.323e-05	3.323e-06
Writer:RootTrackParameterWriter	0.0001497	1.497e-05
Writer:RootTrajectoryStatesWriter	0.003209	0.0003209
Writer:RootTrajectorySummaryWriter	0.0008712	8.712e-05
Writer:CKFPerformanceWriter	0.0001318	1.318e-05
Writer:CsvMultiTrajectoryWriter	0.0008828	8.828e-05
Writer:TrackFinderPerformanceWriter:endRun	0.007188	0.0007188
Writer:SeedingPerformanceWriter:endRun	0.0091	0.00091
Writer:RootTrackParameterWriter:endRun	0.002584	0.0002584
Writer:RootTrajectoryStatesWriter:endRun	0.00682	0.000682
Writer:RootTrajectorySummaryWriter:endRun	0.001182	0.0001182
Writer:CKFPerformanceWriter:endRun	0.00311	0.000311
Writer:CsvMultiTrajectoryWriter:endRun	1.13e-07	1.13e-08
